 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1402/10/4,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
دي,بانك دي,14751,964189010,1028467179861,1051,1056,1056,5,0.48,1067,16,1.52,1032,1082
كروميت,توسعه معادن كروميت كاوندگان,14138,36504104,459894836130,12420,12550,12860,440,3.54,12600,180,1.45,11990,13000
دارا يكم,صندوق واسطه گري مالي يكم-سهام,13789,11932431,2176220110080,178930,178250,181550,2620,1.46,182380,3450,1.93,178000,184700
اهرم,صندوق س سهامي كاريزما- اهرمي,10733,126679067,2671165531840,21250,20990,21200,-50,-0.24,21090,-160,-0.75,20800,21350
ثشاهد,سرمايه‌ گذاري‌ شاهد,8707,48930392,855291772450,18140,17900,17230,-910,-5.02,17480,-660,-3.64,17000,18150
نطرين,عطرين نخ قم,7885,32347612,625916672590,19680,19490,18400,-1280,-6.5,19350,-330,-1.68,18310,20490
پالايش,صندوق پالايشي يكم-سهام,7787,4882804,711604520980,145960,145000,145790,-170,-0.12,145740,-220,-0.15,144420,147450
تسه1402,امتيازتسهيلات مسكن سال1402,6872,430162,518691792152,1203487,1200000,1197006,-6481,-0.54,1205806,2319,0.19,1190082,1215000
فصبا,صبا فولاد خليج فارس,6705,3267848,21264417710,6530,6450,6470,-60,-0.92,6530,0,0,6410,6580
وبملت,بانك ملت,6129,358380949,1731370030086,4806,4803,4820,14,0.29,4831,25,0.52,4803,4863
شهر,گروه مالي شهر,6073,101486913,211040989637,2045,2045,2070,25,1.22,2079,34,1.66,2016,2120
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,5693,154667020,738012663457,4806,4770,4726,-80,-1.66,4772,-34,-0.71,4702,4861
خزاميا,زامياد,5596,78232532,500756513750,6270,6270,6370,100,1.59,6400,130,2.07,6190,6540
ياقوت,صندوق س ياقوت آگاه-ثابت,5562,116289440,2450843076043,21061,21075,21076,15,0.07,21075,14,0.07,21075,21077
كرمان,س. توسعه و عمران استان كرمان,5438,208438256,288740142280,1447,1548,1368,-79,-5.46,1385,-62,-4.28,1353,1548
ملت,بيمه ملت,5162,511228718,1115068622821,2045,2080,2188,143,6.99,2181,136,6.65,2031,2188
افران,صندوق س افرا نماد پايدار-ثابت,5159,170339223,4043059096815,23719,23736,23736,17,0.07,23735,16,0.07,23735,23736
كمرجان,بازرگاني و توليدي مرجان كار,5065,57149346,659990883110,10840,11300,11590,750,6.92,11550,710,6.55,10900,11590
شتاب,صندوق س سهامي شتاب آگاه-اهرمي,5042,54207118,549971668160,10160,10100,10200,40,0.39,10150,-10,-0.1,10050,10260
ضخود1075,اختيارخ خودرو-2800-1402/10/06,5040,1866684,42032521000,34,24,19,-15,-44.12,23,-11,-32.35,16,32
كساپاح,ح . سايپاشيشه‌,4746,46729931,433713886250,8950,9140,9100,150,1.68,9280,330,3.69,8980,9670
فرود,فولاد شاهرود,4692,56918251,288496023365,4956,5099,5010,54,1.09,5069,113,2.28,4940,5180
جهش,صندوق سهامي جهش فارابي-اهرمي,4492,44493254,548549157670,12390,12350,12380,-10,-0.08,12330,-60,-0.48,12090,12620
فولاد,فولاد مباركه اصفهان,4492,105551246,662003973830,6300,6290,6240,-60,-0.95,6270,-30,-0.48,6200,6350
وپارس,بانك‌پارسيان‌,4408,230358795,462401902184,1929,1902,2010,81,4.2,2007,78,4.04,1902,2025
ولشرق,ليزينگ ايران و شرق,4141,120095974,738367760020,5780,5670,6040,260,4.5,6150,370,6.4,5670,6180
وخارزم,سرمايه گذاري خوارزمي,4080,159313951,320721298284,2002,1993,2002,0,0,2013,11,0.55,1966,2043
شستا,سرمايه گذاري تامين اجتماعي,3884,226181303,287961391443,1277,1270,1274,-3,-0.23,1273,-4,-0.31,1265,1280
سصفها,سيمان‌اصفهان‌,3881,2466733,266326084260,111870,111690,106450,-5420,-4.84,107970,-3900,-3.49,106100,111690
خودرو,ايران‌ خودرو,3866,155331777,430511335256,2792,2790,2755,-37,-1.33,2772,-20,-0.72,2749,2802
ضسپا1002,اختيارخ خساپا-2600-1402/10/20,3643,884540,81298215000,121,116,74,-47,-38.84,92,-29,-23.97,70,117
تكاردان,تامين سرمايه كاردان,3636,4404404,11771244522,2677,2700,2663,-14,-0.52,2675,-2,-0.07,2645,2720
ضخود1074,اختيارخ خودرو-2600-1402/10/06,3615,815704,135000344000,196,180,157,-39,-19.9,166,-30,-15.31,147,184
هماي,صندوق س هماي آگاه-ثابت,3566,115227209,1155318880685,10020,10026,10027,7,0.07,10026,6,0.06,10026,10027
ذوب,ذوب آهن اصفهان,3537,89377978,411365389336,4646,4630,4549,-97,-2.09,4603,-43,-0.93,4546,4706
طخود1075,اختيارف خودرو-2800-1402/10/06,3469,1342297,72555695000,44,55,55,11,25,54,10,22.73,40,68
ثپرديس,سرمايه گذاري مسكن پرديس,3260,33367877,616041905530,17570,18000,18790,1220,6.94,18460,890,5.07,17570,18790
شپديس,پتروشيمي پرديس,3217,3615970,633497910960,174630,175240,175100,470,0.27,175190,560,0.32,174630,175520
پي پاد,پرداخت الكترونيك پاسارگاد,3139,17399267,285428254500,16390,16450,15900,-490,-2.99,16400,10,0.06,15840,17200
غنوش,نوش‌ مازندران‌,3113,22753259,268433981300,12240,11870,12000,-240,-1.96,11800,-440,-3.59,11630,12060
حفارس,حمل و نقل بين المللي خليج فارس,3054,78485176,146318136848,1915,1900,1864,-51,-2.66,1864,-51,-2.66,1839,1900
وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,3048,113304146,245606146951,2088,2080,2149,61,2.92,2168,80,3.83,2079,2220
بمولد,مولد نيروگاهي تجارت فارس,3036,10679035,59191824000,5620,5560,5530,-90,-1.6,5540,-80,-1.42,5490,5620
ثبهساز,بهساز كاشانه تهران,3015,56930466,174577365153,3092,3100,3030,-62,-2.01,3067,-25,-0.81,3022,3130
خاور,ايران خودرو ديزل,3005,66831026,252648447892,3806,3780,3759,-47,-1.23,3780,-26,-0.68,3745,3850
شتران,پالايش نفت تهران,2972,53706325,237783834970,4466,4470,4395,-71,-1.59,4427,-39,-0.87,4387,4470
حآفرين,ريل پرداز نو آفرين,2901,73237219,186055868692,2600,2563,2538,-62,-2.38,2540,-60,-2.31,2515,2588
هاي وب,داده گسترعصرنوين-هاي وب,2892,93752740,204984069269,2192,2200,2169,-23,-1.05,2186,-6,-0.27,2158,2220
خساپا,سايپا,2866,113672552,289281932370,2574,2576,2520,-54,-2.1,2545,-29,-1.13,2516,2579
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,2857,98540005,198642509140,2043,2003,2004,-39,-1.91,2016,-27,-1.32,1997,2049
